a_id_,ClusterID,val_FC021PPPC,val_FC022PPPC,val_FC02PPPC,val_FC031PPPC,val_FC03PPPC,val_FC041PPPC,val_FC043PPPC,val_FC045PPPC,val_FC055PPPC,val_FC082PPPC,val_FC083PPPC,val_FC08PPPC,val_FC091PPPC,val_FC092PPPC,val_FC093PPPC,val_FC094PPPC,val_FC09PPPC,val_FC10PPPC,val_FC111PPPC,val_FC112PPPC,val_FC11PPPC,val_FC124PPPC,val_FC127PPPC,val_PEDY002_005PPPC_,val_PEDY005_007PPPC_,val_PEDY007_010PPPC_,val_PEDY020_035PPPC_,val_PEDY035_070PPPC_,val_PEDY070_100PPPC_,val_PEDY100_150PPPC_,val_PEDY150_200PPPC_,val_PEDY200_250PPPC_,val_PEDY250PPPC_
Luxembourg_Luxembourg,4,-0.023192089881736367,3.9322657654814606,1.5233696010237587,-0.21753755984935863,-0.44237627216105935,-0.03714830255449472,0.18731631869304702,-1.1243072375068202,-0.3134088315376963,-0.46414438093008137,-0.9802005294460554,-1.0423617653018937,-0.8623433878377346,-0.14092969168779987,0.2236632991071285,0.36379358212748975,0.16389016038662885,-0.9220921278204766,-0.12100126043697378,0.5476406813535253,0.03090083183316248,4.565385448108061,0.960405201420963,-0.6065049481389724,-0.8568826702630897,-1.0230283026210538,-1.7419956062513997,-0.8430541351148448,1.2060809801249504,3.243501393468798,4.331185401265125,4.283610573140898,2.3438177515857648
"Macao_Macao, China",4,-1.0926429916892386,-0.809763052660754,-1.2643931409069158,-0.34332948039379174,-0.45957350330683194,-0.9721856752798971,-1.3686283387015645,-1.074836279048276,-1.263392121748306,-0.6294896682579286,-0.7409170685425716,-0.8604230823025144,-1.070920379405774,-0.8004131578320703,-0.3362405827553988,-0.37629174275469096,-0.5952212680928086,1.4570683674493463,2.321769693824948,1.6348823659827691,2.375897382855423,-0.4036912575478171,2.761647366433543,-0.6064565001739007,-0.8557876680811536,-1.016727531951213,-1.26204805242863,0.23347033986528468,1.8539113813738441,2.503202186167002,2.159444577260174,1.562345834939667,0.4543908686914424
Macedonia (the former Yugoslav Republic of)_North Macedonia,2,-0.3129225186117308,2.5640285179920057,0.7347719278596121,-0.6945550015648052,-0.4326580119417591,-1.481284770920103,-0.4139303419108771,0.4993338579720882,-1.0347861391689164,-0.1883083173844849,2.277380766328934,2.2012234495002843,0.6378243200113718,-0.6590523613367572,0.463180711933685,0.08836434304797472,0.018293553807814854,-0.5739844673814443,-0.2949140180986125,-0.8913639497962667,-0.46894531776231063,-0.24622482447311925,-1.0793404227178243,-0.6010795507261377,-0.7998426460032705,-0.8332708744386365,0.4827235894314621,1.0096517950115766,0.5858595098703212,0.15896631698918318,-0.13692660492180786,-0.23567311506814403,-0.22757118293418432
Madagascar_Madagascar,2,1.2599646713987183,-0.4476045562367439,0.8490056278440509,0.937591545416133,0.9828513804658893,-0.36955049127508277,0.20152374099137166,0.2504529627222879,2.425980140928793,-0.7643732274542341,-1.3282746016252296,-1.434514227110961,0.9496348298057532,-0.5394401294168798,-0.26123749805359725,-0.7231150192192984,-0.18089552470812645,0.9889765277744488,-0.5567873001636511,-0.5794241318436996,-0.6155750451620312,-0.6441354741179728,-0.9970856074452427,2.653003626722659,1.6204157577870617,0.6283572222428728,-1.697625101795061,-1.6865554792707051,-1.2727668016740616,-0.9667342294159993,-0.6515848675390022,-0.48304406406247546,-0.2834092695941698
Malawi_Malawi,2,1.9919034413675945,-0.23314985228667134,1.5471481915562653,-0.14328537568322836,-0.06322044155469952,0.14149635472681632,0.9253999159968753,0.7651134854342684,1.2155530846554579,-0.5783783373886409,-0.4688814829982167,-0.5825434275461385,1.3251914346913274,-0.4926334868357039,-0.11372969684384221,-0.6735841511168548,0.019656229616364294,-0.3164092320819938,-0.9088766713844274,-0.7254443710333941,-0.9509582705102012,-0.5877707493609059,-0.7263579242876783,2.5332351623052305,1.671983199762106,0.7591940124801081,-1.628012170828017,-1.6966623349264331,-1.2845301218886727,-0.9735847191009741,-0.6546394809706658,-0.48455554756909014,-0.28377062169456807
Malaysia_Malaysia,4,-1.0528593173391882,-0.3529650379397298,-1.0487703713761825,-0.9542729600294743,-1.0141471019970651,0.9948858998397655,-1.1731672491765122,-1.3578304363975833,-1.320150691382046,0.44584282195824587,1.7485080622760518,1.690654795377934,-0.3304045900324461,-0.6448032323354173,0.02498936921629398,0.8235718315174019,0.14245391261122967,-0.5927580091258998,0.93991394590451,-0.19077323483598163,0.7533717139551163,-0.690331957280452,0.9914699797063153,-0.6046812218190439,-0.8382060803425541,-0.9498789164481782,-0.19546051064553618,0.9733864723728297,1.1834124413700942,0.8560872558296796,0.36282082614656236,0.07938529483593415,-0.1434967155646152
Maldives_Maldives,0,-1.18103041951761,0.6885295101057841,-0.7403243476478575,-0.7682338010074006,-0.7002128795715706,0.9823652226481382,0.3516462626959001,0.2613337653583342,-0.6746195459105995,0.05580618109385228,1.6064544151167888,1.5349967933477993,-0.2957894843880026,-0.29975829425824035,-0.09686963030413921,-0.15161786629764012,-0.16595835962047772,0.404239105332135,-0.2588440839998027,-0.4048338805236609,-0.3192936101871593,-0.5703084428130282,-0.29543949029022726,-0.44044925338947877,-0.2931184872111887,-0.05467443625858388,0.6729871787604205,0.31333592737676547,-0.001166684358033432,-0.1123314910586022,-0.16785456192170886,-0.19038525135499548,-0.19007807005773925
Mali_Mali,2,-0.20134142831583865,-0.896979298300439,-0.5532950051042903,1.7372192029860556,1.7816261071120933,-0.6802380437019355,-0.2534741483403528,-0.3277335742066448,1.4364510018828207,-0.47865847924560667,0.27027190230214826,0.13633462280124953,2.5464901358333982,-0.39274343846530013,0.36585366279299375,-0.4298495287054857,0.8430060051330518,-0.7607560128532436,-0.7301062538546527,-0.692325565859624,-0.790699565102073,-0.5871481952444876,-0.7152741097689859,0.8610432840868132,2.158530815051097,2.284319897627394,-0.8243158886178615,-1.558455375196044,-1.2321322356330582,-0.9472156791245191,-0.6438367057257423,-0.47948556111064883,-0.282654732776652
Malta_Malta,3,-0.7155970491556205,0.3858343155309687,-0.3755913687930909,-0.33078198897974537,-0.46587063196916795,-1.2036023065806964,-1.3544319641705151,-1.3641278545699156,-0.1427176188753881,0.34881550507751075,-0.7852755589548606,-0.6719674599238118,-1.0137873722015784,1.0293788145752116,0.23708245588163618,0.9985126888182634,0.5816390243012983,-0.6322586482358113,1.02462113027959,5.778415949067757,2.284865512868484,-0.4009872826660384,-0.8174356195383813,-0.6060864420656393,-0.848636707118856,-0.9816091710757808,-0.21866697637947574,1.1413373629801147,1.2258837325739145,0.7100624431792069,0.15359499871630283,-0.09527785745401704,-0.20624087700761884
Mauritania_Mauritania,0,-0.16608165081420792,-0.9158013551029243,-0.5312996002816033,2.364385230011902,2.212713902020074,-0.24627799145352935,0.5024314646256962,0.6382719783205139,-0.4535505571859324,0.2959506479722267,2.7126941301877943,2.6144348265426154,-1.5063562426918573,-0.7685891470009081,-1.225385618110657,-1.1945659858101636,-1.7015847884497364,-0.7533883560506114,-1.411425313127312,-0.9304471730546142,-1.4288263001875106,-0.6116191093960872,-0.8580203252761872,-0.5143936479404674,-0.2995582438772787,0.21584557331574433,1.6830380147618773,0.12710860578573793,-0.7088428242954214,-0.7691008858453408,-0.6004213169206978,-0.467157075505926,-0.281523976508468
