a_id_,ClusterID,val_CRBEC,val_FC011EC,val_FC01EC,val_FC021EC,val_FC022EC,val_FC02EC,val_FC031EC,val_FC032EC,val_FC041EC,val_FC042EC,val_FC043EC,val_FC044EC,val_FC045EC,val_FC04EC,val_FC052EC,val_FC053EC,val_FC054EC,val_FC055EC,val_FC056EC,val_FC05EC,val_FC063EC,val_FC06EC,val_FC071EC,val_FC072EC,val_FC07EC,val_FC091EC,val_FC096EC,val_FC10EC,val_FC121EC,val_FC123EC,val_FC125EC,val_FC126EC,val_FCTOTEC,val_HHPEDY000_001EC,val_HHPEDY001_002EC,val_HHPEDY002_005EC,val_HHPEDY005_007EC,val_HHPEDY007_010EC,val_HHPEDY010_020EC,val_HHPEDY020_035EC,val_HHPEDY035_070EC,val_HHPEDY070_100EC,val_HHPEDY100_150EC,val_HHPEDY150_200EC,val_HHPEDY200_250EC,val_PEDYEC,val_PEDYHHEC,val_RRBEC
"Germany_DEG04 - Suhl, Kreisfreie Stadt",0,700247940.0,68421896.0,77406272.0,9998352.8,9480991.6,20588070.0,22421066.0,4531865.0,42824048.0,60309022.0,7788415.2,15878410.0,28989744.0,155842940.0,4472197.6,7060754.4,5677379.0,4623300.6,5020163.8,51541018.0,4645026.0,31023236.0,36298756.0,48684888.0,96211318.0,15066274.0,18558046.0,3659363.0,14131462.0,3702986.0,22577028.0,20898508.0,686284360.0,3.684e-07,0.0001433999999999,1.6357443999999997,17.994813999999998,140.89564,2472.608,6450.6556,8005.380999999999,1696.2582000000002,580.2750399999999,83.90494,15.095533999999995,834117100.0,42857.43800000001,268382080.0
"Germany_DEG05 - Weimar, Kreisfreie Stadt",0,1166120000.0,109405640.0,123772280.0,17550026.0,16636238.0,36132080.0,46000388.0,9297803.6,71262778.0,100378832.0,12956782.0,26422522.0,48233548.0,259343120.0,7285984.6,11504390.0,9249619.4,7530907.6,8178261.0,83962292.0,7232851.0,48295964.0,59215156.0,79398202.0,156935620.0,24856802.0,30650554.0,10008365.0,22468098.0,5885617.8,35883068.0,33221618.0,1142875600.0,0.0001244,0.01106,26.199632,163.30374,815.1241,7747.4858,12910.764,11976.45,2217.2908,756.00584,116.115598,22.761092,1323327000.0,35999.946,447183380.0
Germany_DEG06 - Eichsfeld,0,1828570200.0,170319040.0,192684060.0,27196450.0,25784130.0,55996138.0,57486192.0,11619396.0,112917440.0,159040700.0,20532588.0,41867350.0,76431784.0,410930400.0,12164558.0,19206810.0,15442898.0,12574274.0,13654576.0,140186480.0,11783595.2,78688584.0,98647054.0,132284460.0,261450780.0,37785556.0,46574598.0,10736102.0,36285620.0,9506190.4,57957638.0,53655526.0,1791743000.0,2.0260000000000005e-07,0.0001132,1.947201,24.847476,221.24632000000005,4708.215,14307.774,20172.736,4694.5072,1684.304,252.56842,46.31117400000001,2117444000.0,45911.77,697264300.0
Germany_DEG07 - Nordhausen,0,1444927000.0,143676200.0,162542440.0,21801032.0,20670614.0,44889046.0,48633800.0,9830111.0,88665668.0,124875900.0,16124044.0,32875482.0,60018968.0,322670400.0,9528032.6,15043486.0,12095758.0,9849403.6,10695274.0,109805220.0,9011597.4,60182134.0,77262882.0,103617020.0,204781120.0,29380044.0,36202342.0,8737639.4,27984704.0,7332267.2,44704078.0,41383180.0,1416012400.0,9.5859998e-07,0.0003755999999999,4.1836516,45.12252600000001,344.75664000000006,5729.512800000001,14000.15,15993.584,3093.535,987.86104,132.49632000000005,22.486058000000003,1642458400.0,40704.64,559628520.0
Germany_DEG09 - Unstrut-Hainich-Kreis,0,1774916000.0,173717700.0,196528640.0,26937608.0,25540764.0,55465340.0,55529078.0,11223820.0,109662160.0,154448020.0,19942120.0,40660542.0,74231416.0,399080720.0,11820628.0,18663236.0,15006194.0,12219258.0,13268704.0,136225740.0,11159751.0,74527200.0,95843832.0,128534740.0,254028120.0,36243162.0,44661176.0,9860236.0,34641202.0,9076206.0,55336566.0,51226258.0,1739153800.0,1.264e-06,0.0004726,5.0643036,54.086940000000006,411.00746,6824.511,16811.09,19557.332,3881.3304,1267.3993999999998,174.53339999999997,30.26974599999998,2019297600.0,41198.98,683318360.0
Germany_DEG0A - Kyffhäuserkreis,0,1248098200.0,127286520.0,144000260.0,19052672.0,18066846.0,39232282.0,37794190.0,7639167.0,77035642.0,108489220.0,14010456.0,28563470.0,52149254.0,280343900.0,8388927.4,13244526.0,10649598.0,8672349.8,9416794.2,96680312.0,7769432.2,51890378.0,67979800.0,91176184.0,180183080.0,25083070.0,30896678.0,6209011.4,24187670.0,6338077.6,38643092.0,35770204.0,1222979000.0,2.338e-07,0.0001402,2.3965742,29.599748,251.00912,4723.9274,12282.798,14080.176,2594.2484,776.89762,95.33166,14.928843999999998,1411408400.0,40508.068,484459360.0
Germany_DEG0B - Schmalkalden-Meiningen,0,2314534400.0,218100860.0,246739780.0,33915482.0,32156810.0,69832996.0,72258440.0,14605252.0,142468260.0,200652160.0,25907944.0,52824400.0,96438182.0,518468320.0,15362216.0,24254986.0,19502222.0,15880300.0,17244156.0,177040560.0,15084352.0,100736424.0,124557800.0,167042640.0,330132620.0,47947012.0,59083318.0,12865048.0,46239576.0,12115012.0,73863868.0,68377510.0,2268074000.0,1.6220000000000006e-07,0.0001146,2.4254656,32.780089999999994,303.31858,6642.996799999999,19947.092,26619.396,5679.9602,1879.3756,255.45636,43.128042,2708790600.0,44115.486,884171480.0
Germany_DEG0C - Gotha,0,2409865200.0,230687560.0,260979480.0000001,36147346.0,34271152.0,74426576.0,77367726.0,15637952.0,148670440.0,209394260.0,27034410.0,55123858.0,100633690.0,541041680.0,15888254.0,25085898.0,20170068.0,16423556.0,17834444.0,183099900.0,15329498.0,102368740.0,128879060.0,172829040.0,341579560.0,49883568.0,61482494.0,14198630.0,47385052.0,12414434.0,75688636.0,70069088.0,2361379400.0,6.248e-07,0.0003432,5.339748600000001,63.880666,527.6392400000002,9582.1496,24328.02,27501.884,5045.52,1514.9572,187.13778,29.522236,2766970400.0,40229.44,923700400.0
Germany_DEG0D - Sömmerda,0,1231147600.0,118243100.0,133769700.0,18535078.0,17573822.0,38164144.0,36489896.0,7375527.2,76278898.0,107432300.0,13871134.0,28282672.0,51633472.0,277593400.0,8263111.8,13046472.0,10489971.8,8541693.0,9275348.2,95227034.0,7870422.2,52559150.0,66987940.0,89835028.0,177546240.0,25242900.0,31108362.0,6368924.2,24323506.0,6372712.8,38853580.0,35968250.0,1206271400.0,6.592e-08,5.764e-05,1.4555554000000002,20.458687999999995,192.91832,4182.2658,11904.712,14327.829999999998,2661.8378,782.99738,92.716888,13.987484,1414412200.0,41387.038,471560940.0
Germany_DEG0E - Hildburghausen,0,1158312600.0,107928780.0,122100920.0,17081722.0,16196118.0,35171946.0,35378088.0,7150804.4,71467644.0,100654768.0,12996492.0,26498788.0,48377248.0,260083840.0,7792303.2,12303054.0,9892272.4,8055115.0,8746902.2,89801850.0,7528713.6,50278270.0,63153054.0,84693924.0,167383380.0,23720204.0,29229262.0,6396061.8,23115416.0,6056345.4,36924894.0,34182290.0,1135006400.0,8.258000000000001e-07,0.0002726,2.67584339999998,28.24479,215.36028,3710.7088,9787.0116,12676.102,2870.2018,1044.01156,162.56974,31.12785799999996,1350726400.0,44243.656,441791340.0
